"Table 8. Offence rate per 100,000 population by Region and Local Government Area - January 2010 to December 2014",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Offence rate,,,,,,,,,,,,,,,,,,,
,Jan - Dec 2010,Jan - Dec 2011,Jan - Dec 2012,Jan - Dec 2013,Jan - Dec 2014,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
North West Metro Region,,,,,,,,,,,,,,,,,,,,
Ararat,"8,256.2","8,785.1","10,754.3","12,046.0","10,185.3",,,,,,,,,,,,,,,
Ballarat,"9,875.9","10,200.1","10,061.4","10,313.7","10,292.4",,,,,,,,,,,,,,,
Buloke,"4,832.4","4,764.1","4,893.8","3,472.1","3,303.0",,,,,,,,,,,,,,,
Campaspe,"7,959.9","6,110.4","7,087.4","7,110.2","7,987.9",,,,,,,,,,,,,,,
Central Goldfields,"7,904.8","7,305.8","7,662.3","8,411.4","8,692.2",,,,,,,,,,,,,,,
Colac-Otway,"6,952.8","6,476.3","6,683.7","6,209.5","7,307.9",,,,,,,,,,,,,,,
Corangamite,"4,425.5","4,145.0","4,827.0","3,947.4","4,282.9",,,,,,,,,,,,,,,
Gannawarra,"6,144.8","5,567.8","5,358.5","5,229.5","5,418.9",,,,,,,,,,,,,,,
Glenelg,"7,278.6","7,119.1","6,701.1","7,571.3","8,839.4",,,,,,,,,,,,,,,
Golden Plains,"1,854.6","1,566.6","2,090.4","2,153.7","2,442.8",,,,,,,,,,,,,,,
Greater Bendigo,"6,005.6","5,967.0","6,963.0","8,340.3","8,013.4",,,,,,,,,,,,,,,
Greater Geelong,"6,767.2","6,832.0","7,501.7","7,614.8","8,279.9",,,,,,,,,,,,,,,
Hepburn,"4,725.0","4,470.6","4,549.2","3,799.8","4,001.6",,,,,,,,,,,,,,,
Hindmarsh,"4,098.1","3,791.0","4,255.3","4,214.2","4,015.0",,,,,,,,,,,,,,,
Horsham,"9,190.3","9,511.9","14,405.8","9,300.6","12,050.6",,,,,,,,,,,,,,,
Loddon,"4,664.8","5,658.6","5,142.6","4,890.5","6,999.3",,,,,,,,,,,,,,,
Macedon Ranges,"3,858.1","3,376.6","3,856.0","4,172.5","4,832.7",,,,,,,,,,,,,,,
Mildura,"10,923.0","10,702.0","10,420.1","10,574.2","11,024.6",,,,,,,,,,,,,,,
Moorabool,"4,517.4","4,342.5","5,397.5","6,042.2","5,993.3",,,,,,,,,,,,,,,
Mount Alexander,"5,548.7","6,048.6","5,012.3","5,818.6","6,384.2",,,,,,,,,,,,,,,
Moyne,"5,907.2","8,758.6","7,407.9","6,923.9","7,955.4",,,,,,,,,,,,,,,
Northern Grampians,"8,990.3","8,088.6","7,568.0","16,772.6","7,727.6",,,,,,,,,,,,,,,
Pyrenees,"3,586.2","2,959.0","3,987.5","5,361.9","6,000.0",,,,,,,,,,,,,,,
Queenscliffe,"13,305.0","10,356.1","3,857.4","2,289.1","3,287.8",,,,,,,,,,,,,,,
Southern Grampians,"5,453.5","6,203.6","6,163.0","7,104.4","5,908.3",,,,,,,,,,,,,,,
Surf Coast,"4,597.7","3,840.1","4,833.7","4,105.1","4,692.3",,,,,,,,,,,,,,,
Swan Hill,"9,846.5","8,780.3","8,420.0","8,386.4","10,345.3",,,,,,,,,,,,,,,
Warnambool,"6,787.1","5,886.7","5,538.7","5,955.0","6,979.2",,,,,,,,,,,,,,,
West Wimmera,"2,355.4","2,705.9","3,623.4","3,546.1","4,734.9",,,,,,,,,,,,,,,
Yarriambiack,"4,554.2","4,886.5","5,069.0","4,474.2","4,746.8",,,,,,,,,,,,,,,
Sub total,"6,890.1","6,763.6","7,203.0","7,479.1","7,824.3",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total offences1,"6,923.2","6,971.4","7,519.8","7,621.2","7,808.6",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Data extracted from LEAP on 18th January 2015 and subject to variation.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1 Total includes offences with an unknown Local Government Area,,,,,,,,,,,,,,,,,,,,
"Note: Estimated resident population, for years preceding the current year, are taken from the Australian Bureau of Statistics (ABS), Regional Population Growth, Australia (cat. no. 3218.0)  - as at 30 June. As ABS data is not available for the current year's rates to be calculated, the CSA uses estimates created by the Victorian Government¡¯s ¡®Victoria in future¡¯ report.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
